Year,TSX_Composite_Price_Min_Investing,TSX_Composite_Price_Max_Investing,TSX_Composite_Price_MedianofMedian_Investing,TSX_Composite_Price_Jan_Investing,TSX_Composite_Price_Feb_Investing,TSX_Composite_Price_Mar_Investing,TSX_Composite_Price_Apr_Investing,TSX_Composite_Price_May_Investing,TSX_Composite_Price_Jun_Investing,TSX_Composite_Price_Jul_Investing,TSX_Composite_Price_Aug_Investing,TSX_Composite_Price_Sep_Investing,TSX_Composite_Price_Oct_Investing,TSX_Composite_Price_Nov_Investing,TSX_Composite_Price_Dec_Investing,TSX_Energy_Price_Min_Investing,TSX_Energy_Price_Max_Investing,TSX_Energy_Price_MedianofMedian_Investing,TSX_Energy_Price_Jan_Investing,TSX_Energy_Price_Feb_Investing,TSX_Energy_Price_Mar_Investing,TSX_Energy_Price_Apr_Investing,TSX_Energy_Price_May_Investing,TSX_Energy_Price_Jun_Investing,TSX_Energy_Price_Jul_Investing,TSX_Energy_Price_Aug_Investing,TSX_Energy_Price_Sep_Investing,TSX_Energy_Price_Oct_Investing,TSX_Energy_Price_Nov_Investing,TSX_Energy_Price_Dec_Investing,TSX_Financials_Price_Min_Investing,TSX_Financials_Price_Max_Investing,TSX_Financials_Price_MedianofMedian_Investing,TSX_Financials_Price_Jan_Investing,TSX_Financials_Price_Feb_Investing,TSX_Financials_Price_Mar_Investing,TSX_Financials_Price_Apr_Investing,TSX_Financials_Price_May_Investing,TSX_Financials_Price_Jun_Investing,TSX_Financials_Price_Jul_Investing,TSX_Financials_Price_Aug_Investing,TSX_Financials_Price_Sep_Investing,TSX_Financials_Price_Oct_Investing,TSX_Financials_Price_Nov_Investing,TSX_Financials_Price_Dec_Investing,TSX_Health_Price_Min_Investing,TSX_Health_Price_Max_Investing,TSX_Health_Price_MedianofMedian_Investing,TSX_Health_Price_Jan_Investing,TSX_Health_Price_Feb_Investing,TSX_Health_Price_Mar_Investing,TSX_Health_Price_Apr_Investing,TSX_Health_Price_May_Investing,TSX_Health_Price_Jun_Investing,TSX_Health_Price_Jul_Investing,TSX_Health_Price_Aug_Investing,TSX_Health_Price_Sep_Investing,TSX_Health_Price_Oct_Investing,TSX_Health_Price_Nov_Investing,TSX_Health_Price_Dec_Investing,TSX_Industrials_Price_Min_Investing,TSX_Industrials_Price_Max_Investing,TSX_Industrials_Price_MedianofMedian_Investing,TSX_Industrials_Price_Jan_Investing,TSX_Industrials_Price_Feb_Investing,TSX_Industrials_Price_Mar_Investing,TSX_Industrials_Price_Apr_Investing,TSX_Industrials_Price_May_Investing,TSX_Industrials_Price_Jun_Investing,TSX_Industrials_Price_Jul_Investing,TSX_Industrials_Price_Aug_Investing,TSX_Industrials_Price_Sep_Investing,TSX_Industrials_Price_Oct_Investing,TSX_Industrials_Price_Nov_Investing,TSX_Industrials_Price_Dec_Investing,TSX_Information_Price_Min_Investing,TSX_Information_Price_Max_Investing,TSX_Information_Price_MedianofMedian_Investing,TSX_Information_Price_Jan_Investing,TSX_Information_Price_Feb_Investing,TSX_Information_Price_Mar_Investing,TSX_Information_Price_Apr_Investing,TSX_Information_Price_May_Investing,TSX_Information_Price_Jun_Investing,TSX_Information_Price_Jul_Investing,TSX_Information_Price_Aug_Investing,TSX_Information_Price_Sep_Investing,TSX_Information_Price_Oct_Investing,TSX_Information_Price_Nov_Investing,TSX_Information_Price_Dec_Investing,TSX_Utilities_Price_Min_Investing,TSX_Utilities_Price_Max_Investing,TSX_Utilities_Price_MedianofMedian_Investing,TSX_Utilities_Price_Jan_Investing,TSX_Utilities_Price_Feb_Investing,TSX_Utilities_Price_Mar_Investing,TSX_Utilities_Price_Apr_Investing,TSX_Utilities_Price_May_Investing,TSX_Utilities_Price_Jun_Investing,TSX_Utilities_Price_Jul_Investing,TSX_Utilities_Price_Aug_Investing,TSX_Utilities_Price_Sep_Investing,TSX_Utilities_Price_Oct_Investing,TSX_Utilities_Price_Nov_Investing,TSX_Utilities_Price_Dec_Investing
2000,8114.24,11388.82,9390.133,8469.01,9223.42,9488.04,9141.84,9292.225,10050.061,10656.235,11052.76,10765.77,10320.76,9121.199,9008.63,67.34,107.65,94.25,75.565,70.2,72.88,81.67,95.245,95.07,89.64,95.095,100.37,96.89,93.43,99.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6513.13,9348.36,7728.67,8902.355,8926.805,7814.99,7827.14,8111.4453,7816.08,7642.35,7591.935,6867.675,6904.01,7327.67,7552.59,95.34,120.46,108.57,100.125,105.795,107.295,113.54,116.005,116.76,105.16,105.665,109.235,112.41,109.08,108.06,98.51,117.41,107.4925,,,103.69,102.075,105.215,109.46,111.3,113.975,106.44,104.28,108.545,111.48,62.82,86.62,79.4875,,,77.165,78.965,83.48,80.01,80.38,80.91,68.26,73.815,77.965,82.67,66.73,104.56,89.2725,,,87.78,92.79,100.385,98.43,97.37,90.765,73.15,72.35,80.615,87.22,24.27,53.25,38.35,,,41.35,41.835,49.63,39.61,37.72,34.6,26.53,30.655,36.215,38.98,119.26,133.38,125.665,,,122.015,122.38,123.03,125.07,123.75,126.26,126.69,131.64,131.535,127.32
2002,5695.33,7958.11,7001.615,7647.64,7530.875,7863.015,7771.71,7662.625,7305.5703,6697.66,6589.97,6422.88,6234.115,6437.91,6609.74,106.36,133.96,124.8425,109.105,114.05,127.115,128.39,130.59,126.41,119.975,126.91,125.22,117.99,117.15,124.465,89.02,121.16,107.9825,111.495,109.095,115.45,117.515,115.95,112.24,103.61,103.85,100.61,100.005,101.93,106.87,50.06,88.43,62.4875,85.915,76.86,79.36,77.895,68.24,64.655,57.145,58.65,56.96,56.255,60.32,58.555,53.71,95.52,85.755,90.77,89.07,93.44,93.56,93.395,89.96,82.44,73.78,63.09,61.26,65.34,63.925,10.07,43.05,18.52,39.855,34.7,33.755,28.245,23.825,19.69,16.54,15.31,14.065,11.775,16.47,17.35,126.44,144.7,135.2975,128.06,132.115,136.675,136.75,142.91,139.325,134.99,135.79,135,135.595,134.03,128.97
2003,6228.63,8260.54,7065.345,6740.21,6514.665,6364.04,6481.44,6732.11,7014.66,7116.0303,7402.545,7594.85,7687.715,7818.9,7990.77,120.41,156.25,133.0375,125.585,126.56,125.4,121.68,125.03,133.98,132.095,138.66,138.94,137.83,137.91,148.28,102.37,132.88,117.2725,108.21,105.535,106.68,110.23,113.09,116.19,118.355,121.025,122.54,127.75,129.825,130.57,54.91,76.78,63.745,58.065,58.215,57.19,59.13,63.91,70.06,70.85,71.66,72.18,65.97,63.58,63.51,53.96,77.04,65.94,64.975,60.55,55.08,57.57,60.95,63.85,66.905,69.56,72.46,73.06,73.885,73.57,15.1,26.41,20.1425,17.825,16.415,15.97,16.72,18.27,19.83,20.455,21.66,24.88,25.53,24.875,24.6,123.37,153.85,142.7825,129.855,126.855,124.46,124.97,135.83,141,144.565,145.48,144.7,145.97,151.35,152.76
2004,8123.5,9287.4,8541.689,8449.36,8694.83,8585.42,8667.87,8234.04,8423.125,8422.23,8293.94,8497.96,8788.915,8944.609,9096.26,154.36,202.71,171.205,161.9,159.46,166.44,170.82,167.3,167.81,172.89,171.59,177.61,192.045,189.39,197.83,132.64,154.82,140.935,137.99,140.515,140.93,143.2,137.575,140.57,140.33,140.94,143.56,147.48,150.225,151.17,53.6,74.27,63.2175,69.51,72.235,68.91,72.46,69.435,66.355,60.08,54.71,57.37,57.605,56.035,55.41,67.02,79.42,72.715,77.43,78.43,75.75,77.31,73.94,73.06,71.64,68.09,68.62,69.57,70.22,72.37,26,36.84,32.075,31.75,34.985,32.4,34.17,30.22,33.065,32.67,29.32,29.77,30.545,30.97,32.58,138.17,164.35,149.74,152.2,150.025,157.04,149.95,143.8,140.595,140.05,143.61,145.36,149.53,155.87,158.465
2005,9006.22,11296.29,10048.745,9082.516,9577.625,9710.91,9416.13,9473.29,9884.67,10212.82,10565.73,10904.31,10427.745,10703.41,11137.01,192.68,335.99,271,203.93,226.175,236.245,228.56,230.01,261.55,280.45,303.045,325.55,293.38,298.87,321.82,149.73,186.97,164.8925,151.09,156.53,158.25,157.39,160.26,161.845,168.12,167.94,171.14,169.6,177.585,183.575,47.61,57.54,52.0475,53.82,55.735,52.91,50.03,49.92,49.885,50.935,50.88,52.82,51.97,53.57,52.125,72.71,87.38,80.735,73.98,77.985,80.215,79.63,79.84,80.255,81.215,84.85,84.3,82.625,85.105,86.32,26.2,31.14,28.1,30.235,30.515,29.255,28.25,28.35,27.915,27.355,27.95,28.65,27.5,27.65,27.11,160.88,218.77,178.285,164.955,167.835,164.585,164.43,165.61,175.45,181.12,193.145,201.04,202.3,206.825,213.13
2006,10904.34,13021.77,11905.928,11621.03,11748.295,11973.25,12299.12,11838.605,11312.78,11630.96,12037.54,11726.645,11996.63,12394.215,12866.27,286.02,376.63,339.6275,343.01,336.245,344.37,362.19,346.955,329.395,344.33,351.675,308.38,315.78,317.63,330.21,178.95,214.2,193.9775,188.62,192.83,198.11,195.52,187.98,181.305,185.51,191.565,195.125,197.91,207.635,212.52,45.44,58.3,51.7475,54.65,55.775,56.81,56.52,56.67,50.49,51.035,48.25,46.6,46.91,49.42,52.46,85.91,100.61,93.145,88.34,92.595,94.53,96.86,93.695,88.525,87.98,89.07,89.39,95.03,99.165,98.95,22.89,34.15,28.0325,28.11,27.955,29.38,28.56,25.61,23.795,24.265,25.925,27.91,30.23,31.285,32.84,183.77,217.78,199.0525,206.01,200.965,197.86,190.46,192.835,191.115,193.61,200.245,202.605,201.75,197.54,212.28
2007,12457.55,14625.76,13671.43,12719.655,13183.814,13031.355,13576.66,13954.494,13941.59,14131.93,13464.71,13843.2,14224.471,13648.02,13694.84,295.97,372.81,340.4325,308.75,321.49,312.88,336.955,354.375,360.75,360.51,331.34,345.25,346.905,340.155,340.71,200.56,225.66,217.4975,212.935,217.405,218.975,221.54,223.205,217.59,217.94,210.8,214.92,218.74,209.02,210.44,38.13,53,50.17,52.33,52.15,51.235,51.615,50.385,50.38,49.96,43.64,43.9,43.745,40.715,40.68,97.2,128.53,111.86,101.56,107.195,105.745,109.94,116.405,118.97,121.16,113.78,116.6,115.315,107.72,109.66,32.32,39.93,34.9775,34.65,36.15,34.65,33.805,34.725,34.47,36.23,34.215,35.23,36.96,38.29,38.33,196.46,239.34,216.7275,209.71,204.015,201.715,207.2,220.22,213.6,221.27,214.255,219.2,223.735,230.705,228.14
2008,7724.76,15073.13,13305.061,13114.98,13300.335,13309.785,13880.266,14626.31,14728.61,13627.016,13354.525,12532.63,9681.47,8989.266,8415.779,176.4,466.47,350.095,329.465,338.385,357.94,389.72,436.59,449.41,396.225,378.96,342.25,232.365,226.825,209.42,117.62,202.84,181.6125,195.57,194.08,179.755,189.98,193.89,190.34,175.735,180.485,182.74,158.63,144.07,122.135,25.88,41.45,37.2225,38.29,37.27,37.29,38.395,39.74,38.32,37.035,37.175,34.66,29.985,28.785,27.495,65.52,121.33,106.6175,102.195,109,105.935,111.57,117.1,114.19,107.3,111.08,104.25,79.33,75.035,73.59,17.81,38.43,32.595,34.6,34.25,30.92,34.215,36.21,36.31,31.76,33.43,29.62,20.815,19.24,18.425,161.36,232.01,216.7875,226.69,224.94,216.17,216.24,224.5,228.2,217.335,218.18,206.15,177.91,175.525,167.42
2009,7566.94,11779.73,10364.595,8841.48,8624.83,8446.529,9247.17,10073.6,10392.27,10336.92,10828.369,11332.04,11382.13,11447.2,11554.72,174.62,308.04,264.13,215.66,203.34,212.105,234.95,261.77,266.79,254.425,266.49,285.39,294.32,287.54,288.64,91.47,180.16,156.9375,124.47,111.35,113.495,132.99,144.18,153.785,160.09,168.61,176.24,174.07,172.88,172.74,25.29,35.99,30.17,30,30.34,26.53,27.19,26.645,26.795,28.605,31.49,33.68,35.44,34.58,35.1,58.6,96.86,79.695,76.09,70.85,65.785,74.99,77.66,79.895,79.495,87.445,89.89,88.71,91.36,94.44,17.11,29.41,25.23,20.33,20.57,18.555,23.66,24.57,25.125,25.335,26.65,27.18,27.59,26.69,27.91,151.53,197.78,170.9725,171.46,167.14,156.17,155.64,159.06,165.31,170.485,173.92,174.26,178.52,182.25,194.63
